f0,f1,f2,f3,f4,f5,f6,f7
-3.2955604,0.13620986,0.6184266,0.0045653577,0.16695735,0.01929346,0.42517832,0.9638583
0.8682648,-0.17158607,-0.4880754,0.078162536,0.21088773,0.020627314,0.68888396,1.1577046
-3.311166,-0.14582062,0.61022466,-0.00022133812,0.23657048,0.01929346,0.46941945,0.93847597
-3.069245,0.07906239,-0.3915914,0.054127786,0.42421603,0.018879842,0.14900382,1.0176971
-1.0626795,0.15777214,0.6943849,0.0046615573,0.34354544,0.01929346,0.44655937,1.1483858
-1.0718743,0.53842425,0.64975494,0.0075878724,0.29125962,0.01929346,0.46162733,0.75906056
1.1381307,0.54925835,0.6570837,0.002011926,0.47214195,-0.0060560275,0.5434086,0.6872869
1.5427318,0.07636548,1.0255052,-0.012449346,0.43744826,0.022514982,0.32769787,0.981011
-3.1750884,-0.72698927,0.5964582,0.0039859703,0.1915409,0.01929346,0.41346577,0.9078703
-3.2002695,-0.74643636,0.57933116,0.0024453262,0.2789789,0.009490635,0.4120198,0.9078703
-3.3146203,-0.14011155,0.6039592,-0.00022133812,0.24920121,0.01929346,0.46497574,0.92573464
-2.6226237,-0.7467759,-0.3256923,0.04585719,0.3509561,0.011486704,0.43219316,0.97079694
-1.0667931,-0.36415115,0.7070088,0.008244694,0.16450667,0.01929346,0.44177568,1.1483858
-3.2068794,-0.13624023,-0.33723378,0.047012832,0.4446692,0.011486704,0.47029132,0.9830719
0.9128114,0.08180758,-0.51386464,0.09193263,0.67567027,0.020627314,0.20297799,0.922458
-2.9860067,-0.72806746,-0.336015,0.046527404,0.23446618,0.018879842,0.43295854,0.962834
1.3884921,0.13180666,0.95093584,-0.008583671,0.49459568,0.014098525,0.39594287,0.7755446
-3.103172,0.00232415,-0.35447142,0.045240574,0.2178944,0.018879842,0.43751848,1.0248247
0.81550306,-1.0725174,-0.5092283,0.11281948,0.519396,0.020627314,0.12823433,1.0774248
1.7337202,0.53600395,0.65303814,0.002011926,0.48976532,0.014098525,0.5549246,0.61122555
-2.7905376,-0.14987552,-0.3420529,0.047012832,0.43667322,0.018879842,0.4783641,1.0074053
-2.930816,-0.7778616,-0.36417186,0.053704415,0.3549542,0.018879842,0.13408443,0.9632742
-2.9860067,-0.72806746,-0.336015,0.046527404,0.23446618,0.018879842,0.43295854,0.962834
-3.3378108,0.045693472,0.6184266,0.0045653577,0.16695735,0.01929346,0.42517832,0.9638583
-3.2599263,-0.04423976,0.6071612,0.0039859703,0.1678913,0.01929346,0.42464522,0.9638583
1.5570407,-0.5076641,0.8123748,0.0051652314,0.20557931,0.014098525,0.5858694,1.0038277
-3.0832808,-0.14441194,-0.37817073,0.053449336,0.4447112,0.018879842,0.1950965,0.9672022
-2.930816,-0.7778616,-0.36417186,0.053704415,0.3549542,0.018879842,0.13408443,0.9632742
-3.069247,-0.7467759,-0.3256923,0.04585719,0.3478146,0.011486704,0.43219316,0.962834
-3.0773818,0.08900154,-0.38468838,0.054127786,0.42380732,0.018879842,0.15852174,0.9998825
-3.2002695,-0.74643636,0.57933116,0.0024453262,0.2789789,0.009490635,0.4120198,0.9078703
-2.9860067,-0.72806746,-0.336015,0.046527404,0.23446618,0.018879842,0.43295854,0.962834
-3.36325,-0.12545104,0.5846686,-0.0020984057,0.37074676,0.01929346,0.46297672,0.92573464
1.5381399,-0.082262516,0.7459417,-0.0007743919,0.43841508,-0.014472485,0.62274855,0.88316804
-3.3126962,0.09976264,0.6184266,0.0045653577,0.16695735,0.01929346,0.42517832,0.9638583
-0.9742433,-0.13127275,0.6761596,-0.00012513809,0.44528863,0.009490635,0.48566315,1.1057045
-3.0773818,0.0656141,-0.38468838,0.054127786,0.42380732,0.018879842,0.18190919,0.9998825
-1.0765343,0.11265058,0.6830321,0.0005533118,0.38737544,0.01929346,0.47953102,1.118446
-0.9041079,-0.1425493,-0.37760428,0.066928774,0.46920434,0.018879842,0.49506366,1.2294784
-3.1750884,-0.72698927,0.5964582,0.0039859703,0.1915409,0.01929346,0.41346577,0.9078703
1.4432604,-0.72952116,0.98250186,-0.011352054,0.32010868,0.014098525,0.31731322,0.92993706
-3.3087358,0.116917565,0.61240274,0.00045711175,0.22094133,0.01929346,0.43554038,0.93847597
-2.6563742,-0.7467759,-0.32737213,0.04585719,0.3509561,0.018879842,0.43219316,0.97079694
-3.0604403,0.13921258,-0.3841159,0.056540284,0.38235733,0.018879842,0.14083634,1.0234658
-3.1577187,-0.061271463,-0.346309,0.04585719,0.36179063,0.011486704,0.43787563,1.0248247
-3.2468498,-0.078871146,0.6071612,0.0039859703,0.16723323,0.01929346,0.41960552,0.9638583
1.1053711,0.18652137,0.7789443,-0.0029131053,0.4143903,0.022514982,0.5696426,1.0702554
1.5056106,-1.0680012,-0.48216912,0.11281948,0.52246773,0.012210856,0.15269645,1.000694
-3.2955604,0.13620986,0.6184266,0.0045653577,0.16695735,0.01929346,0.42517832,0.9638583
1.7306291,0.53626406,0.64700484,0.002011926,0.48706308,-0.014472485,0.5549246,0.61122555
-3.3089726,-0.12432391,0.6918044,-0.004551368,0.37140262,0.01929346,0.32528514,0.90268254
-2.7590127,0.08828997,-0.34311584,0.04769128,0.4210441,0.011486704,0.46879232,1.0074053
-3.0749605,-0.7467759,-0.32737213,0.04585719,0.3478146,0.018879842,0.43219316,0.962834
-0.9850367,-0.19182973,-0.39001992,0.070292875,0.27650133,0.018879842,0.5350018,1.1995384
1.4313552,0.6862252,-0.45136285,0.084077485,0.5778814,0.012210856,0.23149808,0.6522215
-2.6465075,0.046899248,-0.39046142,0.053164788,0.38161895,0.018879842,0.13928698,1.0332279
-0.95968556,-0.017570484,-0.4301556,0.07423637,0.4580846,0.018879842,0.14286207,1.2111892
-3.069247,-0.7467759,-0.3256923,0.04585719,0.3478146,0.011486704,0.43219316,0.962834
-3.1466417,-0.7607394,0.6990608,-0.0005197404,0.28566015,0.01929346,0.25889802,0.8884189
-3.2068794,-0.13624023,-0.33723378,0.047012832,0.4446692,0.011486704,0.47029132,0.9830719
-3.069247,-0.7467759,-0.3256923,0.04585719,0.3478146,0.011486704,0.43219316,0.962834
-3.006211,-0.12801825,-0.38786548,0.053704415,0.36703733,0.018879842,0.13369748,1.025265
-2.95235,-0.3011393,-0.38740247,0.053704415,0.3589503,0.018879842,0.13315043,1.025265
-1.0361631,-0.8685712,0.6581039,0.004418594,0.31294468,0.009490635,0.43461737,1.0923978
1.4048418,-0.9718212,-0.42190143,0.0761541,0.4409385,0.012210856,0.6849658,1.0011388
1.4740016,-0.13063538,-0.43312594,0.07422075,0.5612076,-0.005362832,0.71493536,0.9976853
-3.0490775,-0.10452546,-0.3498881,0.046527404,0.22045308,0.018879842,0.43109953,1.0248247
1.574558,-0.98786163,-0.397384,0.07571966,0.51388156,0.012210856,0.67738664,1.029549
1.6658568,0.73458177,-0.424864,0.07569218,0.61872286,0.012210856,0.23577769,0.6311248
1.676988,0.09830123,0.9979465,-0.012449346,0.42974082,0.014098525,0.3291627,0.93880504
1.343197,-0.43878376,0.7357868,0.0011082441,0.38710505,-0.014472485,0.5824515,0.9850526
-2.930816,-0.7778616,-0.36417186,0.053704415,0.3549542,0.018879842,0.13408443,0.9632742
-3.0832808,-0.14441194,-0.37817073,0.053449336,0.4447112,0.018879842,0.1950965,0.9672022
-2.6013339,0.083346486,-0.39046142,0.053164788,0.38161895,0.018879842,0.13928698,1.0332279
1.29124,-0.96913433,-0.39868248,0.07571966,0.51388156,-0.005362832,0.68641746,1.0180736
1.6099067,0.0950092,0.9993849,-0.012449346,0.4338778,0.014098525,0.3291627,0.9656469
-2.9860067,-0.72806746,-0.336015,0.046527404,0.23446618,0.018879842,0.43295854,0.962834
-3.1750884,-0.72698927,0.5964582,0.0039859703,0.1915409,0.01929346,0.41346577,0.9078703
-3.0832808,-0.14441194,-0.37817073,0.053449336,0.4447112,0.018879842,0.1950965,0.9672022
-3.0850396,-0.15498546,-0.34692553,0.046935838,0.29386714,0.018879842,0.46938437,0.9830719
0.8867228,-0.21533456,-0.49987218,0.07452255,0.28550166,0.020627314,0.71279573,1.1113943
-1.06094,-0.3023937,0.7070088,0.008244694,0.16543522,0.01929346,0.4469176,1.1483858
-3.4294152,0.43858102,0.5354627,-0.00015414227,0.35603043,0.01929346,0.4374058,0.682447
1.3429736,0.07816664,-0.42845878,0.078094475,0.61258477,-0.005362832,0.6900105,1.0597885
1.6801343,0.07273955,0.9948025,-0.012449346,0.42974082,0.014098525,0.3291627,0.94937074
1.3905563,0.16873783,0.7597948,-0.0029131053,0.4351349,-0.014472485,0.5858514,1.0005069
-3.311166,-0.14582062,0.61022466,-0.00022133812,0.23657048,0.01929346,0.46941945,0.93847597
-2.930816,-0.7778616,-0.36417186,0.053704415,0.3549542,0.018879842,0.13408443,0.9632742
1.5699018,-0.19759443,-0.49355972,0.10336702,0.6844379,0.012210856,0.22733353,0.98251987
